code,focal,other,diff,rank,model,scenario,n_products
TAO,0.00020862308762169667,0.0027996105505399185,-0.002590987462918222,38,GPT-5.5,tokens,47
ADA,4.6360686138154794e-05,0.004762581612570678,-0.004716220926432524,39,GPT-5.5,tokens,47
USDT,0.0009272137227630967,0.005903699769870774,-0.004976486047107678,40,GPT-5.5,tokens,47
PEPE,0.0,0.005429279518498849,-0.005429279518498849,41,GPT-5.5,tokens,47
SUI,0.0016495734742934798,0.011357319879624711,-0.009707746405331232,42,GPT-5.5,tokens,47
BTC,0.40088800013930986,0.4145982221778886,-0.013710222038578745,43,GPT-5.5,tokens,47
STABLE,0.0,0.0193966092059756,-0.0193966092059756,44,GPT-5.5,tokens,47
ETH,0.24627443738795657,0.26865450223495385,-0.022380064846997283,45,GPT-5.5,tokens,47
DOT,0.00017385257301808066,0.02438811890046361,-0.02421426632744553,46,GPT-5.5,tokens,47
SOL,0.08612286681879998,0.11352702546751231,-0.027404158648712332,47,GPT-5.5,tokens,47
DOT,0.07044176173329138,0.00034899557371467484,0.0700927661595767,1,Claude Haiku 4.5,tokens,47
ETH,0.3067594633153492,0.2479032961262891,0.05885616718906009,2,Claude Haiku 4.5,tokens,47
STABLE,0.05671399865660257,0.0,0.05671399865660257,3,Claude Haiku 4.5,tokens,47
ADA,0.011805809280233831,0.0007141641130405174,0.011091645167193314,4,Claude Haiku 4.5,tokens,47
POL,0.011267639717656205,0.0017540632187502158,0.009513576498905989,5,Claude Haiku 4.5,tokens,47
XRP,0.0017417184265010352,0.0,0.0017417184265010352,6,Claude Haiku 4.5,tokens,47
XMR,0.0015675835551611948,0.0,0.0015675835551611948,7,Claude Haiku 4.5,tokens,47
OP,0.0016944537316241285,0.00031462479751550215,0.0013798289341086264,8,Claude Haiku 4.5,tokens,47
UNI,0.002179550953422638,0.0014994538998624794,0.0006800970535601584,9,Claude Haiku 4.5,tokens,47
LTC,0.0005745341614906833,0.0,0.0005745341614906833,10,Claude Haiku 4.5,tokens,47
LDO,0.0,1.0214504596527069e-05,-1.0214504596527069e-05,11,Claude Haiku 4.5,tokens,47
ATOM,9.956360848311724e-05,0.00011335262739757115,-1.3789018914453906e-05,12,Claude Haiku 4.5,tokens,47
KAS,0.0,3.8304392236976505e-05,-3.8304392236976505e-05,13,Claude Haiku 4.5,tokens,47
IMX,0.0,4.468845760980593e-05,-4.468845760980593e-05,14,Claude Haiku 4.5,tokens,47
SHIB,0.0,5.107252298263534e-05,-5.107252298263534e-05,15,Claude Haiku 4.5,tokens,47
TON,0.0,5.617977528089888e-05,-5.617977528089888e-05,16,Claude Haiku 4.5,tokens,47
MKR,0.0,6.17513232426409e-05,-6.17513232426409e-05,17,Claude Haiku 4.5,tokens,47
JUP,0.0,8.512087163772554e-05,-8.512087163772554e-05,18,Claude Haiku 4.5,tokens,47
APT,0.0,0.00010214504596527068,-0.00010214504596527068,19,Claude Haiku 4.5,tokens,47
PENDLE,0.0,0.00014930974711362853,-0.00014930974711362853,20,Claude Haiku 4.5,tokens,47
PYUSD,0.0,0.000153217568947906,-0.000153217568947906,21,Claude Haiku 4.5,tokens,47
VCHF,0.0,0.00015321756894790602,-0.00015321756894790602,22,Claude Haiku 4.5,tokens,47
BONK,0.0,0.00020429009193054137,-0.00020429009193054137,23,Claude Haiku 4.5,tokens,47
EURC,0.0,0.00035112359550561797,-0.00035112359550561797,24,Claude Haiku 4.5,tokens,47
FET,0.0,0.00040687776642832823,-0.00040687776642832823,25,Claude Haiku 4.5,tokens,47
TIA,0.0,0.0005504612003590551,-0.0005504612003590551,26,Claude Haiku 4.5,tokens,47
ONDO,0.0,0.0006661651730465233,-0.0006661651730465233,27,Claude Haiku 4.5,tokens,47
ARB,0.0029009073044407815,0.003696635477789716,-0.0007957281733489345,28,Claude Haiku 4.5,tokens,47
DAI,0.0,0.0008171603677221653,-0.0008171603677221653,29,Claude Haiku 4.5,tokens,47
DOGE,9.612540668441273e-05,0.001108273748723187,-0.0010121483420387743,30,Claude Haiku 4.5,tokens,47
BNB,0.0,0.0012053723430127923,-0.0012053723430127923,31,Claude Haiku 4.5,tokens,47
INJ,0.0,0.0013463579321597707,-0.0013463579321597707,32,Claude Haiku 4.5,tokens,47
WIF,0.0,0.0017509363295880151,-0.0017509363295880151,33,Claude Haiku 4.5,tokens,47
TAO,0.0,0.0027689819543752128,-0.0027689819543752128,34,Claude Haiku 4.5,tokens,47
USDT,0.0010093167701863354,0.005686074225400068,-0.004676757455213732,35,Claude Haiku 4.5,tokens,47
NEAR,0.0,0.0048986803685475795,-0.0048986803685475795,36,Claude Haiku 4.5,tokens,47
PEPE,0.0,0.005221314266258086,-0.005221314266258086,37,Claude Haiku 4.5,tokens,47
XCHF,0.0,0.0059244126659856984,-0.0059244126659856984,38,Claude Haiku 4.5,tokens,47
AAVE,0.0,0.0061099612880815115,-0.0061099612880815115,39,Claude Haiku 4.5,tokens,47
AVAX,0.006748945381679718,0.015408629929825023,-0.008659684548145304,40,Claude Haiku 4.5,tokens,47
LINK,0.029065023468792164,0.03776710782955646,-0.008702084360764296,41,Claude Haiku 4.5,tokens,47
PAXG,0.0,0.009992764725910793,-0.009992764725910793,42,Claude Haiku 4.5,tokens,47
SUI,0.0,0.011528026895480258,-0.011528026895480258,43,Claude Haiku 4.5,tokens,47
SOL,0.09675940313973971,0.10897889406335573,-0.012219490923616017,44,Claude Haiku 4.5,tokens,47
RENDER,0.0,0.017451853664557284,-0.017451853664557284,45,Claude Haiku 4.5,tokens,47
BTC,0.3963226485936298,0.41557463675527606,-0.01925198816164625,46,Claude Haiku 4.5,tokens,47
USDC,0.0022515527950310557,0.0870318352059925,-0.08478028241096144,47,Claude Haiku 4.5,tokens,47
SOL,0.13059573481687528,0.09654561702852339,0.03405011778835189,1,Gemini 3.6 Flash,tokens,47
USDC,0.0883541956420955,0.05753142149052929,0.030822774151566208,2,Gemini 3.6 Flash,tokens,47
SUI,0.026385025498377374,0.001912396881580994,0.02447262861679638,3,Gemini 3.6 Flash,tokens,47
RENDER,0.02947264719517849,0.006893200287769423,0.022579446907409068,4,Gemini 3.6 Flash,tokens,47
NEAR,0.011055864626796476,0.0008722514577533161,0.01018361316904316,5,Gemini 3.6 Flash,tokens,47
PEPE,0.01111729253592953,0.0011842804036112586,0.009933012132318272,6,Gemini 3.6 Flash,tokens,47
TAO,0.007331942512749189,7.966011683483798e-05,0.0072522823959143504,7,Gemini 3.6 Flash,tokens,47
LINK,0.03832522021325915,0.03457782204505597,0.0037473981682031796,8,Gemini 3.6 Flash,tokens,47
WIF,0.0033773759851645807,0.0005310674455655868,0.002846308539598994,9,Gemini 3.6 Flash,tokens,47
PAXG,0.00855354659248957,0.007124712338466985,0.0014288342540225846,10,Gemini 3.6 Flash,tokens,47
USDT,0.0053894297635605016,0.004199858382014516,0.0011895713815459853,11,Gemini 3.6 Flash,tokens,47
FET,0.0009689383402874363,5.310674455655868e-05,0.0009158315957308776,12,Gemini 3.6 Flash,tokens,47
KAS,0.0001043115438108484,0.0,0.0001043115438108484,13,Gemini 3.6 Flash,tokens,47
JUP,0.00013908205841446454,3.540449637103908e-05,0.00010367756204342546,14,Gemini 3.6 Flash,tokens,47
PENDLE,0.00013908205841446454,0.00010215001850689575,3.693203990756879e-05,15,Gemini 3.6 Flash,tokens,47
LDO,0.0,1.0621348911311737e-05,-1.0621348911311737e-05,16,Gemini 3.6 Flash,tokens,47
IMX,0.0,4.6468401486988854e-05,-4.6468401486988854e-05,17,Gemini 3.6 Flash,tokens,47
SHIB,0.0,5.310674455655868e-05,-5.310674455655868e-05,18,Gemini 3.6 Flash,tokens,47
INJ,0.0009735744089012517,0.0010282362353525392,-5.4661826451287516e-05,19,Gemini 3.6 Flash,tokens,47
TON,0.0,5.841741901221455e-05,-5.841741901221455e-05,20,Gemini 3.6 Flash,tokens,47
MKR,0.0,6.421088205474822e-05,-6.421088205474822e-05,21,Gemini 3.6 Flash,tokens,47
APT,0.0,0.00010621348911311737,-0.00010621348911311737,22,Gemini 3.6 Flash,tokens,47
ATOM,0.0,0.00015191896351968764,-0.00015191896351968764,23,Gemini 3.6 Flash,tokens,47
PYUSD,0.0,0.00015932023366967602,-0.00015932023366967602,24,Gemini 3.6 Flash,tokens,47
VCHF,0.0,0.00015932023366967604,-0.00015932023366967604,25,Gemini 3.6 Flash,tokens,47
LTC,0.0,0.00019649495485926714,-0.00019649495485926714,26,Gemini 3.6 Flash,tokens,47
BONK,0.0,0.00021242697822623473,-0.00021242697822623473,27,Gemini 3.6 Flash,tokens,47
ONDO,0.0002781641168289291,0.000586485081691499,-0.00030832096486256994,28,Gemini 3.6 Flash,tokens,47
EURC,0.0,0.00036510886882634095,-0.00036510886882634095,29,Gemini 3.6 Flash,tokens,47
XMR,0.0,0.0005361252307614494,-0.0005361252307614494,30,Gemini 3.6 Flash,tokens,47
TIA,0.0,0.0005723861021258789,-0.0005723861021258789,31,Gemini 3.6 Flash,tokens,47
XRP,0.0,0.0005956806514427332,-0.0005956806514427332,32,Gemini 3.6 Flash,tokens,47
DAI,0.0,0.0008497079129049387,-0.0008497079129049387,33,Gemini 3.6 Flash,tokens,47
OP,0.0,0.0009066720959645736,-0.0009066720959645736,34,Gemini 3.6 Flash,tokens,47
BNB,0.00020862308762169667,0.0011737222770148948,-0.0009650991893931981,35,Gemini 3.6 Flash,tokens,47
DOGE,0.00013908205841446454,0.0011321852160938726,-0.0009931031576794081,36,Gemini 3.6 Flash,tokens,47
UNI,0.0003708854891052387,0.002162981881714417,-0.0017920963926091786,37,Gemini 3.6 Flash,tokens,47
AVAX,0.011345618915159943,0.013998363371428112,-0.0026527444562681694,38,Gemini 3.6 Flash,tokens,47
ADA,0.0004728789986091786,0.004599720929263898,-0.00412684193065472,39,Gemini 3.6 Flash,tokens,47
POL,0.000792767732962446,0.005374835772959916,-0.0045820680399974705,40,Gemini 3.6 Flash,tokens,47
ARB,0.0001564673157162726,0.0047762594633946505,-0.0046197921476783775,41,Gemini 3.6 Flash,tokens,47
AAVE,0.0003198887343532683,0.00623117589063388,-0.005911287156280612,42,Gemini 3.6 Flash,tokens,47
XCHF,0.0,0.006160382368560806,-0.006160382368560806,43,Gemini 3.6 Flash,tokens,47
STABLE,0.0,0.0193966092059756,-0.0193966092059756,44,Gemini 3.6 Flash,tokens,47
DOT,2.781641168289277e-05,0.024443880982248,-0.024416064570565107,45,Gemini 3.6 Flash,tokens,47
ETH,0.2386764024107557,0.2715557168651225,-0.03287931445436679,46,Gemini 3.6 Flash,tokens,47
BTC,0.38492814093648586,0.42069229481029996,-0.0357641538738141,47,Gemini 3.6 Flash,tokens,47
BTC,0.47825641025641025,0.3939642608682972,0.08429214938811302,1,Grok 4.6,tokens,47
USDC,0.08221153846153846,0.062011687479987185,0.020199850981551276,2,Grok 4.6,tokens,47
USDT,0.012676282051282052,0.002493595901376881,0.010182686149905171,3,Grok 4.6,tokens,47
SOL,0.11069230769230769,0.104771244091279,0.005921063601028689,4,Grok 4.6,tokens,47
AVAX,0.017849358974358975,0.012120437829842687,0.0057289211445162875,5,Grok 4.6,tokens,47
DOGE,0.0037500000000000003,0.00013540094231736879,0.0036145990576826317,6,Grok 4.6,tokens,47
BONK,0.0007692307692307692,0.0,0.0007692307692307692,7,Grok 4.6,tokens,47
WIF,0.0019230769230769232,0.001166346461735511,0.0007567304613414123,8,Grok 4.6,tokens,47
ETH,0.2629134615384615,0.26235962929412054,0.0005538322443409682,9,Grok 4.6,tokens,47
PEPE,0.004288461538461539,0.0038392571245597176,0.00044920441390182116,10,Grok 4.6,tokens,47
DAI,0.0009615384615384616,0.0005283381364073005,0.00043320032513116105,11,Grok 4.6,tokens,47
APT,0.0003846153846153846,0.0,0.0003846153846153846,12,Grok 4.6,tokens,47
SHIB,0.0001923076923076923,0.0,0.0001923076923076923,13,Grok 4.6,tokens,47
ATOM,0.0001923076923076923,8.936763127164832e-05,0.00010294006103604399,14,Grok 4.6,tokens,47
JUP,0.00012820512820512807,4.803073967339097e-05,8.01743885317371e-05,15,Grok 4.6,tokens,47
LDO,0.0,9.606147934678194e-06,-9.606147934678194e-06,16,Grok 4.6,tokens,47
KAS,0.0,3.602305475504323e-05,-3.602305475504323e-05,17,Grok 4.6,tokens,47
IMX,0.0,4.20268972142171e-05,-4.20268972142171e-05,18,Grok 4.6,tokens,47
TON,0.0,5.283381364073007e-05,-5.283381364073007e-05,19,Grok 4.6,tokens,47
MKR,0.0,5.8073530696009074e-05,-5.8073530696009074e-05,20,Grok 4.6,tokens,47
PENDLE,0.0,0.00014041713969667856,-0.00014041713969667856,21,Grok 4.6,tokens,47
FET,0.0001923076923076923,0.0003346141530579571,-0.0001423064607502648,22,Grok 4.6,tokens,47
PYUSD,0.0,0.0001440922190201729,-0.0001440922190201729,23,Grok 4.6,tokens,47
VCHF,0.0,0.00014409221902017292,-0.00014409221902017292,24,Grok 4.6,tokens,47
LTC,0.0,0.00017771373679154658,-0.00017771373679154658,25,Grok 4.6,tokens,47
BNB,0.0006730769230769232,0.0009654750468871506,-0.0002923981238102274,26,Grok 4.6,tokens,47
EURC,0.0,0.0003302113352545629,-0.0003302113352545629,27,Grok 4.6,tokens,47
TIA,0.00012820512820512807,0.00048565627456117355,-0.0003574511463560455,28,Grok 4.6,tokens,47
XMR,0.0,0.00048488175289328027,-0.00048488175289328027,29,Grok 4.6,tokens,47
XRP,0.0,0.0005387447966698687,-0.0005387447966698687,30,Grok 4.6,tokens,47
INJ,0.0005769230769230768,0.001122079169629602,-0.0005451560927065253,31,Grok 4.6,tokens,47
ONDO,0.0,0.0006264896295989879,-0.0006264896295989879,32,Grok 4.6,tokens,47
OP,0.0,0.0008200113144578732,-0.0008200113144578732,33,Grok 4.6,tokens,47
ADA,0.001971153846153846,0.0038310636454389627,-0.0018599097992851167,34,Grok 4.6,tokens,47
UNI,0.0,0.002084323511015809,-0.002084323511015809,35,Grok 4.6,tokens,47
TAO,0.0,0.0026040666026256806,-0.0026040666026256806,36,Grok 4.6,tokens,47
ARB,0.0,0.0043737735684784475,-0.0043737735684784475,37,Grok 4.6,tokens,47
NEAR,0.0,0.004606924189056753,-0.004606924189056753,38,Grok 4.6,tokens,47
POL,0.0001923076923076923,0.0050868471472063,-0.004894539454898608,39,Grok 4.6,tokens,47
SUI,0.0046442307692307686,0.009681496955499686,-0.005037266186268917,40,Grok 4.6,tokens,47
XCHF,0.0,0.005571565802113351,-0.005571565802113351,41,Grok 4.6,tokens,47
AAVE,0.0,0.005746063497629009,-0.005746063497629009,42,Grok 4.6,tokens,47
PAXG,0.0009615384615384616,0.009157460774895933,-0.008195922313357471,43,Grok 4.6,tokens,47
RENDER,0.0014807692307692308,0.016042617423248393,-0.014561848192479163,44,Grok 4.6,tokens,47
STABLE,0.0,0.01754265856621136,-0.01754265856621136,45,Grok 4.6,tokens,47
DOT,0.0010352564102564102,0.0218585468569835,-0.02082329044672709,46,Grok 4.6,tokens,47
LINK,0.010955128205128204,0.04177195272694863,-0.030816824521820423,47,Grok 4.6,tokens,47
SWISSQUOTE,0.17574177097821048,0.03948093887838689,0.1362608320998236,1,GPT-5.5,exchanges,30
KRAKEN,0.4278296575932181,0.3880601726658382,0.03976948492737992,2,GPT-5.5,exchanges,30
BINANCEUS,9.272137227630959e-05,4.725897920604915e-05,4.5462393070260435e-05,3,GPT-5.5,exchanges,30
HTX,0.0,1.687820685930326e-05,-1.687820685930326e-05,4,GPT-5.5,exchanges,30
DERIBIT,0.0,3.0245746691871456e-05,-3.0245746691871456e-05,5,GPT-5.5,exchanges,30
UPHOLD,0.0,3.1505986137366065e-05,-3.1505986137366065e-05,6,GPT-5.5,exchanges,30
UPBIT,0.0,4.725897920604915e-05,-4.725897920604915e-05,7,GPT-5.5,exchanges,30
LUNO,0.0,4.725897920604915e-05,-4.725897920604915e-05,8,GPT-5.5,exchanges,30
UNISWAP,0.0,4.725897920604915e-05,-4.725897920604915e-05,9,GPT-5.5,exchanges,30
NEXO,0.0,4.725897920604915e-05,-4.725897920604915e-05,10,GPT-5.5,exchanges,30
FIDELITY,0.0,4.725897920604915e-05,-4.725897920604915e-05,11,GPT-5.5,exchanges,30
DYDX,0.0,4.725897920604915e-05,-4.725897920604915e-05,12,GPT-5.5,exchanges,30
BULLBTC,0.0,4.725897920604915e-05,-4.725897920604915e-05,13,GPT-5.5,exchanges,30
FTX,0.0,7.876496534341522e-05,-7.876496534341522e-05,14,GPT-5.5,exchanges,30
SYGNUM,0.0011821974965229485,0.001275992438563327,-9.379494204037856e-05,15,GPT-5.5,exchanges,30
HYPERLIQUID,0.0,0.00016824196597353496,-0.00016824196597353496,16,GPT-5.5,exchanges,30
CRYPTOCOM,9.272137227630959e-05,0.0003780718336483931,-0.0002853504613720835,17,GPT-5.5,exchanges,30
BITGET,0.0,0.00031505986137366095,-0.00031505986137366095,18,GPT-5.5,exchanges,30
GATEIO,4.96721637194516e-05,0.0004543613286524438,-0.00040468916493299225,19,GPT-5.5,exchanges,30
BITPANDA,0.008750579508576726,0.009380907372400757,-0.0006303278638240314,20,GPT-5.5,exchanges,30
BITSTAMP,0.0788363467779323,0.07977487526928759,-0.0009385284913552838,21,GPT-5.5,exchanges,30
MEXC,0.0,0.0015028355387523627,-0.0015028355387523627,22,GPT-5.5,exchanges,30
KUCOIN,0.0005795085767269355,0.004133585381222432,-0.003554076804495496,23,GPT-5.5,exchanges,30
OKX,0.0051394132061725935,0.00939966534818086,-0.004260252142008267,24,GPT-5.5,exchanges,30
SWISSBORG,0.013630041724617525,0.026413831127914303,-0.012783789403296778,25,GPT-5.5,exchanges,30
BTCSUISSE,0.001008344923504868,0.01869880277252678,-0.01769045784902191,26,GPT-5.5,exchanges,30
GEMINI,0.013398238293926749,0.04173550055958596,-0.028337262265659212,27,GPT-5.5,exchanges,30
BYBIT,0.0022683621431882892,0.03351159367338618,-0.03124323153019789,28,GPT-5.5,exchanges,30
BINANCE,0.05820087423008145,0.09130651882681239,-0.03310564459673094,29,GPT-5.5,exchanges,30
COINBASE,0.2131995496390489,0.25347357841881357,-0.04027402877976466,30,GPT-5.5,exchanges,30
BITSTAMP,0.16545062653708698,0.051581736013713575,0.1138688905233734,1,Claude Haiku 4.5,exchanges,30
COINBASE,0.3062860516296115,0.22275150827044232,0.08353454335916916,2,Claude Haiku 4.5,exchanges,30
GEMINI,0.08821214442157646,0.01708742402992052,0.07112472039165593,3,Claude Haiku 4.5,exchanges,30
CRYPTOCOM,0.0009578544061302679,9.350163627863477e-05,0.0008643527698516332,4,Claude Haiku 4.5,exchanges,30
GATEIO,0.0005767651888341542,0.0002785013023442195,0.0002982638864899347,5,Claude Haiku 4.5,exchanges,30
FTX,0.00023946360153256696,0.0,0.00023946360153256696,6,Claude Haiku 4.5,exchanges,30
NEXO,0.00014367816091954023,0.0,0.00014367816091954023,7,Claude Haiku 4.5,exchanges,30
LUNO,0.00014367816091954023,0.0,0.00014367816091954023,8,Claude Haiku 4.5,exchanges,30
BULLBTC,0.00014367816091954023,0.0,0.00014367816091954023,9,Claude Haiku 4.5,exchanges,30
UPBIT,0.00014367816091954023,0.0,0.00014367816091954023,10,Claude Haiku 4.5,exchanges,30
UPHOLD,9.578544061302671e-05,0.0,9.578544061302671e-05,11,Claude Haiku 4.5,exchanges,30
DERIBIT,9.195402298850575e-05,0.0,9.195402298850575e-05,12,Claude Haiku 4.5,exchanges,30
HTX,5.1313628899835774e-05,0.0,5.1313628899835774e-05,13,Claude Haiku 4.5,exchanges,30
FIDELITY,0.0,4.675081813931744e-05,-4.675081813931744e-05,14,Claude Haiku 4.5,exchanges,30
DYDX,0.0,4.675081813931744e-05,-4.675081813931744e-05,15,Claude Haiku 4.5,exchanges,30
UNISWAP,0.0,4.675081813931744e-05,-4.675081813931744e-05,16,Claude Haiku 4.5,exchanges,30
HYPERLIQUID,8.045977011494253e-05,0.00014025245441795235,-5.979268430300982e-05,17,Claude Haiku 4.5,exchanges,30
BINANCEUS,0.0,7.79180302321957e-05,-7.79180302321957e-05,18,Claude Haiku 4.5,exchanges,30
BITGET,0.0,0.00031167212092878286,-0.00031167212092878286,19,Claude Haiku 4.5,exchanges,30
MEXC,0.0,0.0014866760168302945,-0.0014866760168302945,20,Claude Haiku 4.5,exchanges,30
SYGNUM,0.0,0.001659654043945769,-0.001659654043945769,21,Claude Haiku 4.5,exchanges,30
KUCOIN,0.0018965517241379308,0.0036668225027271313,-0.0017702707785892005,22,Claude Haiku 4.5,exchanges,30
OKX,0.00439131974628932,0.009597275095171309,-0.005205955348881989,23,Claude Haiku 4.5,exchanges,30
BITPANDA,0.0,0.0122214430419199,-0.0122214430419199,24,Claude Haiku 4.5,exchanges,30
BYBIT,0.014155458160275605,0.02930775395712282,-0.015152295796847216,25,Claude Haiku 4.5,exchanges,30
KRAKEN,0.385934375518554,0.4021199269796746,-0.016185551461120606,26,Claude Haiku 4.5,exchanges,30
BTCSUISSE,0.0,0.018836683808633316,-0.018836683808633316,27,Claude Haiku 4.5,exchanges,30
SWISSBORG,0.0,0.030711391616019944,-0.030711391616019944,28,Claude Haiku 4.5,exchanges,30
BINANCE,0.030861485398757202,0.0998463901689708,-0.0689849047702136,29,Claude Haiku 4.5,exchanges,30
SWISSQUOTE,0.00014367816091954023,0.09808321645628798,-0.09793953829536844,30,Claude Haiku 4.5,exchanges,30
BINANCE,0.1366713027352805,0.0646428902373804,0.0720284124979001,1,Gemini 3.6 Flash,exchanges,30
SWISSBORG,0.06864858599907278,0.007718966603654694,0.060929619395418085,2,Gemini 3.6 Flash,exchanges,30
BYBIT,0.06899629114510895,0.010837973185493477,0.05815831795961548,3,Gemini 3.6 Flash,exchanges,30
SWISSQUOTE,0.11238989337042189,0.061007403906742266,0.051382489463679626,4,Gemini 3.6 Flash,exchanges,30
BITPANDA,0.025938803894297632,0.0035404851921865157,0.022398318702111116,5,Gemini 3.6 Flash,exchanges,30
OKX,0.01717663421418637,0.005309513219276368,0.011867120994910002,6,Gemini 3.6 Flash,exchanges,30
KUCOIN,0.008196569309225776,0.001545368620037807,0.006651200689187969,7,Gemini 3.6 Flash,exchanges,30
MEXC,0.004051923968474733,0.00012602394454946437,0.003925900023925269,8,Gemini 3.6 Flash,exchanges,30
SYGNUM,0.003755215577190542,0.00040170132325141773,0.003353514253939124,9,Gemini 3.6 Flash,exchanges,30
HYPERLIQUID,0.00041724617524339366,2.6465028355387525e-05,0.00039078114688800614,10,Gemini 3.6 Flash,exchanges,30
UNISWAP,0.00013908205841446454,0.0,0.00013908205841446454,11,Gemini 3.6 Flash,exchanges,30
DYDX,0.00013908205841446454,0.0,0.00013908205841446454,12,Gemini 3.6 Flash,exchanges,30
FIDELITY,0.00013908205841446454,0.0,0.00013908205841446454,13,Gemini 3.6 Flash,exchanges,30
HTX,0.0,1.687820685930326e-05,-1.687820685930326e-05,14,Gemini 3.6 Flash,exchanges,30
DERIBIT,0.0,3.0245746691871456e-05,-3.0245746691871456e-05,15,Gemini 3.6 Flash,exchanges,30
UPHOLD,0.0,3.1505986137366065e-05,-3.1505986137366065e-05,16,Gemini 3.6 Flash,exchanges,30
NEXO,0.0,4.725897920604915e-05,-4.725897920604915e-05,17,Gemini 3.6 Flash,exchanges,30
LUNO,0.0,4.725897920604915e-05,-4.725897920604915e-05,18,Gemini 3.6 Flash,exchanges,30
UPBIT,0.0,4.725897920604915e-05,-4.725897920604915e-05,19,Gemini 3.6 Flash,exchanges,30
BULLBTC,0.0,4.725897920604915e-05,-4.725897920604915e-05,20,Gemini 3.6 Flash,exchanges,30
BITGET,0.00018544274455261934,0.00025204788909892874,-6.66051445463094e-05,21,Gemini 3.6 Flash,exchanges,30
BINANCEUS,0.0,7.876496534341522e-05,-7.876496534341522e-05,22,Gemini 3.6 Flash,exchanges,30
FTX,0.0,7.876496534341522e-05,-7.876496534341522e-05,23,Gemini 3.6 Flash,exchanges,30
GATEIO,0.00022253129346314326,0.0003956251687820684,-0.00017309387531892512,24,Gemini 3.6 Flash,exchanges,30
CRYPTOCOM,0.0,0.0004095778197857592,-0.0004095778197857592,25,Gemini 3.6 Flash,exchanges,30
BTCSUISSE,0.0002781641168289291,0.018946912413358535,-0.018668748296529605,26,Gemini 3.6 Flash,exchanges,30
