model,attribute,value,n_responses,amount_Stable,freq_Stable,amount_Blue chip,freq_Blue chip,amount_Large-cap alt,freq_Large-cap alt,amount_Small-cap alt,freq_Small-cap alt,amount_Meme,freq_Meme
Claude Haiku 4.5,environment,crisis,108,0.0992283950617284,0.10398230088495575,0.7203086419753086,0.48008849557522126,0.1549537037037037,0.33849557522123896,0.02550925925925926,0.07743362831858407,0.0,0.0
Claude Haiku 4.5,environment,recession,125,0.13453333333333334,0.14367816091954022,0.7108061814914645,0.4904214559386973,0.11901983827493262,0.27586206896551724,0.035640646900269544,0.09003831417624521,0.0,0.0
Claude Haiku 4.5,environment,recovery,144,0.01724537037037037,0.016783216783216783,0.6847083063994829,0.4027972027972028,0.2350171628480452,0.4027972027972028,0.06283074768368886,0.17622377622377622,0.0001984126984126984,0.0013986013986013986
Claude Haiku 4.5,environment,expansion,142,0.031215401863919835,0.02877697841726619,0.6838298087189637,0.40863309352517985,0.21993647823860843,0.3712230215827338,0.06478356939447051,0.18992805755395684,0.00023474178403755873,0.0014388489208633094
GPT-5.5,budget,100,80,0.10187499999999998,0.10240963855421686,0.7081249999999999,0.46987951807228917,0.10937499999999999,0.1927710843373494,0.08062499999999999,0.23493975903614459,0.0,0.0
GPT-5.5,budget,1000,80,0.1033125,0.1,0.688375,0.41578947368421054,0.11356250000000001,0.21842105263157896,0.09475,0.2657894736842105,0.0,0.0
GPT-5.5,budget,10000,80,0.12375,0.10810810810810811,0.6497499999999999,0.35135135135135137,0.1149375,0.21171171171171171,0.11156250000000001,0.32882882882882886,0.0,0.0
GPT-5.5,budget,20000,80,0.12898684210526318,0.10307017543859649,0.6440131578947368,0.3442982456140351,0.10955427631578947,0.19956140350877194,0.11682072368421052,0.3508771929824561,0.000625,0.0021929824561403508
GPT-5.5,budget,30000,80,0.12639583333333335,0.1087866108786611,0.6645833333333334,0.33263598326359833,0.10391666666666667,0.19874476987447698,0.10447916666666669,0.3577405857740586,0.0006250000000000001,0.0020920502092050207
GPT-5.5,budget,40000,80,0.138125,0.10728744939271255,0.64140625,0.31781376518218624,0.10440625,0.20445344129554655,0.1160625,0.37044534412955465,0.0,0.0
GPT-5.5,budget,50000,80,0.1461875,0.12734864300626306,0.6519540816326531,0.3298538622129436,0.0997079081632653,0.19832985386221294,0.10190051020408164,0.34237995824634654,0.00025,0.0020876826722338203
GPT-5.5,budget,100000,80,0.16124999999999998,0.13095238095238096,0.6262499999999999,0.30952380952380953,0.10368749999999997,0.19444444444444445,0.10881249999999998,0.36507936507936506,0.0,0.0
GPT-5.5,risk,risk-averse,180,0.3413148148148148,0.38273615635179153,0.6465740740740741,0.5439739413680782,0.004472222222222223,0.029315960912052116,0.007638888888888889,0.043973941368078175,0.0,0.0
GPT-5.5,risk,risk-neutral,180,0.0626111111111111,0.0798076923076923,0.7083949357520786,0.34615384615384615,0.12806705089443185,0.24615384615384617,0.10092690224237842,0.3278846153846154,0.0,0.0
GPT-5.5,risk,risk-seeking,180,0.005801952271250517,0.020964360587002098,0.5107626420850104,0.2487770789657582,0.2268132241377855,0.24528301886792453,0.25595551483928675,0.48287910552061497,0.0006666666666666666,0.0020964360587002098
GPT-5.5,term,less than one year,180,0.29114814814814816,0.1955128205128205,0.4997457311207312,0.3547008547008547,0.12027801827801828,0.21047008547008547,0.08816143578643579,0.2361111111111111,0.0006666666666666668,0.003205128205128205
GPT-5.5,term,one to three years,180,0.08844205948372616,0.09900990099009901,0.6850437710437711,0.35544554455445543,0.10806916386083053,0.19801980198019803,0.11844500561167227,0.3475247524752475,0.0,0.0
GPT-5.5,term,three to ten years,180,0.03528703703703703,0.05722599418040737,0.7375364701436129,0.34917555771096026,0.10629867266772028,0.20271580989330748,0.12087782015162968,0.39088263821532493,0.0,0.0
GPT-5.5,environment,crisis,144,0.23342978395061728,0.2131837307152875,0.6238955026455026,0.3884992987377279,0.06472800925925926,0.1276297335203366,0.07794670414462082,0.270687237026648,0.0,0.0
GPT-5.5,environment,recession,144,0.21898621632996634,0.19642857142857142,0.6372667147667148,0.3901098901098901,0.06051902958152958,0.1346153846153846,0.08322803932178932,0.27884615384615385,0.0,0.0
GPT-5.5,environment,recovery,144,0.044965277777777785,0.048919226393629126,0.6659229196729197,0.3265073947667804,0.15155483405483405,0.2502844141069397,0.1375569684944685,0.3742889647326507,0.0,0.0
GPT-5.5,environment,expansion,144,0.04737268518518519,0.04525386313465784,0.6362396284271286,0.31456953642384106,0.17509925645342314,0.2792494481236203,0.14059398548981886,0.358719646799117,0.0006944444444444446,0.002207505518763797
Gemini 3.6 Flash,budget,100,80,0.063125,0.06741573033707865,0.6375,0.4794007490636704,0.20875,0.2696629213483146,0.0725,0.14232209737827714,0.018125,0.04119850187265917
Gemini 3.6 Flash,budget,1000,80,0.08375,0.07741935483870968,0.635375,0.4612903225806452,0.1910625,0.267741935483871,0.0745625,0.16451612903225807,0.01525,0.02903225806451613
Gemini 3.6 Flash,budget,10000,80,0.110625,0.10306406685236769,0.62625,0.42618384401114207,0.16875,0.25069637883008355,0.080375,0.18662952646239556,0.014000000000000002,0.033426183844011144
Gemini 3.6 Flash,budget,20000,80,0.10718749999999999,0.08244680851063829,0.6196875000000001,0.40425531914893614,0.179625,0.27925531914893614,0.0813125,0.20212765957446807,0.0121875,0.031914893617021274
Gemini 3.6 Flash,budget,30000,80,0.09995833333333334,0.08847184986595175,0.6502083333333333,0.42091152815013405,0.16854166666666665,0.27882037533512066,0.07358333333333333,0.19302949061662197,0.0077083333333333335,0.01876675603217158
Gemini 3.6 Flash,budget,40000,80,0.12125,0.10997442455242967,0.6246875000000001,0.3938618925831202,0.16184375,0.26854219948849106,0.07846875,0.1918158567774936,0.013750000000000002,0.03580562659846547
Gemini 3.6 Flash,budget,50000,80,0.11350000000000002,0.08695652173913043,0.63375,0.40153452685422,0.16725,0.27877237851662406,0.07525000000000003,0.19948849104859334,0.010250000000000002,0.03324808184143223
Gemini 3.6 Flash,budget,100000,80,0.11687499999999999,0.09135802469135802,0.6331249999999999,0.3851851851851852,0.163375,0.2839506172839506,0.07362500000000001,0.2074074074074074,0.013000000000000001,0.03209876543209877
Gemini 3.6 Flash,risk,risk-averse,180,0.27837962962962964,0.3220640569395018,0.7111574074074074,0.6209964412811388,0.008046296296296296,0.04092526690391459,0.002416666666666667,0.01601423487544484,0.0,0.0
Gemini 3.6 Flash,risk,risk-neutral,180,0.05652777777777778,0.06172839506172839,0.7324999999999999,0.4444444444444444,0.14578240740740742,0.30493827160493825,0.06518981481481481,0.18888888888888888,0.0,0.0
Gemini 3.6 Flash,risk,risk-seeking,180,0.0011111111111111111,0.0018885741265344666,0.32584259259259263,0.24929178470254956,0.43578240740740737,0.3663833805476865,0.17881018518518518,0.2766761095372993,0.0584537037037037,0.10576015108593012
Gemini 3.6 Flash,term,less than one year,180,0.24414814814814814,0.16622340425531915,0.4821388888888889,0.4148936170212766,0.1858425925925926,0.2300531914893617,0.05791666666666667,0.12367021276595745,0.029953703703703705,0.06515957446808511
Gemini 3.6 Flash,term,one to three years,180,0.05947222222222221,0.07091346153846154,0.6554629629629629,0.40625,0.1866018518518518,0.2824519230769231,0.08985185185185185,0.21514423076923078,0.00861111111111111,0.025240384615384616
Gemini 3.6 Flash,term,three to ten years,180,0.020972222222222225,0.04018912529550828,0.7188611111111112,0.41725768321513,0.16638425925925926,0.29550827423167847,0.09300462962962963,0.24349881796690306,0.0007777777777777778,0.0035460992907801418
Gemini 3.6 Flash,environment,crisis,144,0.20697916666666666,0.1834710743801653,0.6166319444444445,0.4479338842975207,0.11740162037037037,0.19834710743801653,0.046614583333333334,0.1371900826446281,0.012372685185185186,0.03305785123966942
Gemini 3.6 Flash,environment,recession,144,0.16568287037037038,0.13879598662207357,0.6410879629629629,0.459866220735786,0.12425925925925926,0.2040133779264214,0.05813657407407407,0.1705685618729097,0.010833333333333334,0.026755852842809364
Gemini 3.6 Flash,environment,recovery,144,0.03142361111111111,0.04154727793696275,0.6305902777777779,0.37822349570200575,0.22525462962962964,0.32808022922636104,0.09827546296296297,0.2191977077363897,0.01445601851851852,0.0329512893982808
Gemini 3.6 Flash,environment,expansion,144,0.04033564814814815,0.042134831460674156,0.5874768518518518,0.36797752808988765,0.2433738425925926,0.32865168539325845,0.10781828703703705,0.21769662921348315,0.020995370370370373,0.04353932584269663
Grok 4.6,budget,100,73,0.11301369863013698,0.0918918918918919,0.7321917808219177,0.6432432432432432,0.10684931506849316,0.17297297297297298,0.004109589041095891,0.016216216216216217,0.043835616438356165,0.07567567567567568
Grok 4.6,budget,1000,61,0.07622950819672132,0.05847953216374269,0.7327868852459016,0.6081871345029239,0.15606557377049182,0.24561403508771928,0.01475409836065574,0.05263157894736842,0.02016393442622951,0.03508771929824561
Grok 4.6,budget,10000,61,0.13114754098360656,0.10555555555555556,0.7180327868852459,0.6055555555555555,0.1373770491803279,0.24444444444444444,0.01180327868852459,0.03888888888888889,0.001639344262295082,0.005555555555555556
Grok 4.6,budget,20000,62,0.10483870967741936,0.07291666666666667,0.7241935483870967,0.5885416666666666,0.14758064516129032,0.2760416666666667,0.00967741935483871,0.03125,0.01370967741935484,0.03125
Grok 4.6,budget,30000,62,0.08548387096774193,0.06779661016949153,0.7715053763440861,0.6214689265536724,0.128494623655914,0.2598870056497175,0.014516129032258065,0.05084745762711865,0.0,0.0
Grok 4.6,budget,40000,57,0.10219298245614034,0.07407407407407407,0.7644736842105263,0.654320987654321,0.12105263157894736,0.2222222222222222,0.012280701754385963,0.04938271604938271,0.0,0.0
Grok 4.6,budget,50000,57,0.08947368421052632,0.06097560975609756,0.7701754385964912,0.6341463414634146,0.13017543859649122,0.2621951219512195,0.008421052631578947,0.036585365853658534,0.0017543859649122807,0.006097560975609756
Grok 4.6,budget,100000,58,0.0646551724137931,0.054945054945054944,0.7482758620689653,0.5879120879120879,0.1560344827586207,0.2802197802197802,0.027586206896551724,0.07142857142857142,0.0034482758620689655,0.005494505494505495
Grok 4.6,risk,risk-averse,146,0.2718036529680365,0.2608695652173913,0.7281963470319635,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0
Grok 4.6,risk,risk-neutral,139,0.035791366906474824,0.04846938775510204,0.8562350119904079,0.7040816326530612,0.10247002398081538,0.22448979591836735,0.0055035971223021595,0.02295918367346939,0.0,0.0
Grok 4.6,risk,risk-seeking,137,0.0,0.0,0.5721411192214112,0.4319852941176471,0.34502433090024337,0.41360294117647056,0.04137469586374696,0.10110294117647059,0.041459854014598535,0.05330882352941176
Grok 4.6,term,less than one year,122,0.2657103825136612,0.1924198250728863,0.5572404371584699,0.5160349854227405,0.1489617486338798,0.2303206997084548,0.0075956284153005475,0.026239067055393587,0.020491803278688523,0.03498542274052478
Grok 4.6,term,one to three years,128,0.04101562500000001,0.029411764705882353,0.8011718750000001,0.6524064171122995,0.1398307291666667,0.25935828877005346,0.017981770833333337,0.058823529411764705,0.0,0.0
Grok 4.6,term,three to ten years,139,0.0,0.0,0.8660671462829737,0.6876574307304786,0.11857314148681057,0.25440806045340053,0.015359712230215828,0.05793450881612091,0.0,0.0
Grok 4.6,environment,crisis,98,0.21343537414965988,0.184,0.7091836734693877,0.652,0.06534013605442177,0.128,0.005918367346938775,0.02,0.006122448979591837,0.016
Grok 4.6,environment,recession,102,0.15522875816993462,0.14232209737827714,0.7428104575163399,0.6591760299625468,0.08382352941176471,0.15355805243445692,0.00392156862745098,0.0149812734082397,0.014215686274509804,0.0299625468164794
Grok 4.6,environment,recovery,121,0.02665289256198347,0.020618556701030927,0.7566804407713499,0.5850515463917526,0.18961432506887055,0.32216494845360827,0.019614325068870526,0.061855670103092786,0.007438016528925619,0.010309278350515464
Grok 4.6,environment,expansion,108,0.024691358024691357,0.01744186046511628,0.751466049382716,0.5813953488372093,0.19885802469135802,0.32558139534883723,0.02007716049382716,0.06395348837209303,0.004907407407407408,0.011627906976744186
